id,channel_bandwidth,event_timestamp,mac_address,noise_floor,primary_channel,primary_phy,received_antenna_id,rssi,secondary_channel,transmit_protocol,beacon_event_id,id,area_ceiling,area_count,area_floor,area_radius,barometer_accuracy,classification_type,epoch2019,geodetic_altitude_meters,height_above_takeoff_meters,height_type,horizontal_accuracy,identity_type,latitude,longitude,operational_status,operator_geodetic_altitude_meters,operator_latitude,operator_location_type,operator_longitude,pressure_altitude_meters,speed_accuracy,speed_meters_second,time_of_applicability,time_of_applicability_accuracy,track_direction,ua_type,uas_category,uas_class,unique_id,unique_id_length,vertical_accuracy,vertical_speed_meters_second,epoch2019_datetime,,,,
20179994,0,54:24.5,60601fd9ca06,0,2437,0,WIFI_3,-84,0,0,20179989,20179989,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,1581F5YHA23870311N53,20,,,,,,,
20179993,0,54:24.5,60601fd9ca06,0,2437,0,WIFI_3,-84,0,0,20179988,20179988,24,1,24,0,0,0,154637663,315.5,108,0,10,1,39.97542191,-85.96469116,2,254,39.96910858,1,-85.96561432,-1000,2,10,32637,10,4,2,0,0,1581F5YHA23870311N53,20,3,2,11/25/2023 18:54,,,,
20179992,0,54:24.5,60601fd9ca06,0,2437,0,WIFI_3,-84,0,0,20179987,20179987,,,,,0,,,315.5,108,0,10,1,39.97542191,-85.96469116,2,,,,,-1000,2,10,32637,10,4,2,,,1581F5YHA23870311N53,20,3,2,,,,,
19160077,0,43:58.3,60601f2c7965,0,2437,0,WIFI_3,-83,0,0,19160072,19160072,24,1,24,0,0,0,154565037,423,200,0,10,1,39.97467041,-86.16384888,2,228,39.97470856,1,-86.16386414,-1000,2,0,26374,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,0,11/24/2023 22:43,,,,
19160076,0,43:58.3,60601f2c7965,0,2437,0,WIFI_3,-83,0,0,19160071,19160071,24,1,24,0,0,0,154565009,423,200,0,10,1,39.97467041,-86.16384888,2,230,39.97469711,1,-86.16386414,-1000,2,0,26374,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,0,11/24/2023 22:43,,,,
19160075,0,43:58.3,60601f2c7965,0,2437,0,WIFI_3,-83,0,0,19160070,19160070,24,1,24,0,0,0,154565009,458,236.5,0,10,1,39.9746666,-86.16384888,2,230,39.97469711,1,-86.16386414,-1000,2,0,26091,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,-5,11/24/2023 22:43,,,,
19159836,0,43:30.5,60601f2c7965,0,2437,0,WIFI_1,-84,0,0,19159831,19159831,24,1,24,0,0,0,154388273,487,264,0,10,1,39.97468185,-86.16392517,2,234,39.97473145,1,-86.16383362,-1000,2,0,22734,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,-4.5,11/22/2023 21:37,,,,
19159835,0,43:30.5,60601f2c7965,0,2437,0,WIFI_1,-84,0,0,19159830,19159830,24,1,24,0,0,0,154565009,458,236.5,0,10,1,39.9746666,-86.16384888,2,230,39.97469711,1,-86.16386414,-1000,2,0,26091,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,-5,11/24/2023 22:43,,,,
19159834,0,43:30.5,60601f2c7965,0,2437,0,WIFI_1,-84,0,0,19159829,19159829,24,1,24,0,0,0,154388273,458,236.5,0,10,1,39.9746666,-86.16384888,2,234,39.97473145,1,-86.16383362,-1000,2,0,26091,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,-5,11/22/2023 21:37,,,,
19159826,0,43:30.0,60601f2c7965,0,2437,0,WIFI_3,-83,0,0,19159821,19159821,24,1,24,0,0,0,154565009,458,236.5,0,10,1,39.9746666,-86.16384888,2,230,39.97469711,1,-86.16386414,-1000,2,0,26091,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,-5,11/24/2023 22:43,,,,
19159825,0,43:30.0,60601f2c7965,0,2437,0,WIFI_3,-83,0,0,19159820,19159820,24,1,24,0,0,0,154565003,458,236.5,0,10,1,39.9746666,-86.16384888,2,230,39.97469711,1,-86.16386414,-1000,2,0,26091,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,-5,11/24/2023 22:43,,,,
19159824,0,43:29.9,60601f2c7965,0,2437,0,WIFI_3,-83,0,0,19159819,19159819,24,1,24,0,0,0,154565003,487,267.5,0,10,1,39.97467041,-86.16384888,2,230,39.97469711,1,-86.16386414,-1000,2,0,26033,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,-4.5,11/24/2023 22:43,,,,
19159777,0,43:24.2,60601f2c7965,0,2437,0,WIFI_3,-87,0,0,19159772,19159772,24,1,24,0,0,0,154565003,487,267.5,0,10,1,39.97467041,-86.16384888,2,230,39.97469711,1,-86.16386414,-1000,2,0,26033,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,-4.5,11/24/2023 22:43,,,,
19159776,0,43:24.2,60601f2c7965,0,2437,0,WIFI_3,-87,0,0,19159771,19159771,24,1,24,0,0,0,154564974,627,420.5,0,10,1,39.9746666,-86.16384888,2,230,39.97469711,1,-86.16386414,-1000,2,0,25748,10,361,2,0,0,1581F6Z9C23AR003DEQL,20,3,-5,11/24/2023 22:42,,,,
